,売りたい家の数,0,買いたい家の数,0,
,売れた家の数,0,買えた家の数,0,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,取引なし
,総取引における距離の平均
,売りたい家の数,0,買いたい家の数,0,
,売れた家の数,0,買えた家の数,0,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,取引なし
,総取引における距離の平均
,売りたい家の数,0,買いたい家の数,0,
,売れた家の数,0,買えた家の数,0,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,取引なし
,総取引における距離の平均
,売りたい家の数,0,買いたい家の数,0,
,売れた家の数,0,買えた家の数,0,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,取引なし
,総取引における距離の平均
,売りたい家の数,0,買いたい家の数,0,
,売れた家の数,0,買えた家の数,0,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,取引なし
,総取引における距離の平均
,売りたい家の数,19,買いたい家の数,6,
,売れた家の数,6,買えた家の数,6,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,Hoover,Cleveland,1500,257501,6,2
,Washington,Pierce,1000,97001,6,6
,Monroe,Harrison,1500,108001,5,5
,Buchanan,Lincoln,500,247901,4,3
,Hayes,Mckinley,500,218701,1,4
,Arthur,Buren,1500,309800,5,1
,総取引における距離の平均,1083.0,合算地,6500,何番目に好きな人に売れたの平均,3.0,何番目に好きな人から買えたの平均,4.0
,売りたい家の数,18,買いたい家の数,11,
,売れた家の数,11,買えた家の数,11,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,Eisenhower,Jefferson,2000,158801,11,7
,Nixson,Garfield,1500,309801,10,3
,Truman,Buchanan,2000,257501,9,5
,Ford,Monroe,1500,115201,10,8
,Adams,Arthur,2000,232701,9,6
,Buren,Polk,1500,94401,9,10
,Pierce,Fillmore,3000,309801,10,1
,Lincoln,Tyler,2500,108001,8,9
,Cleveland,Taylor,4000,33801,6,11
,Harrison,Hayes,1000,309801,5,2
,Mckinley,Washington,2500,302400,5,4
,総取引における距離の平均,2136.0,合算地,23500,何番目に好きな人に売れたの平均,6.0,何番目に好きな人から買えたの平均,8.0
,売りたい家の数,12,買いたい家の数,8,
,売れた家の数,8,買えた家の数,8,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,Johnson,Hoover,2000,245001,8,4
,Jefferson,Truman,1000,45801,7,7
,Jackson,Obama,2000,198001,7,5
,Polk,Ford,3000,336001,6,1
,Tyler,Grant,2000,312801,4,2
,Fillmore,Carter,1500,168001,4,6
,Taylor,Adams,2500,264801,1,3
,総取引における距離の平均,2000.0,合算地,14000,何番目に好きな人に売れたの平均,4.0,何番目に好きな人から買えたの平均,5.0
,売りたい家の数,9,買いたい家の数,4,
,売れた家の数,4,買えた家の数,4,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,Carter,Coolidge,1000,302401,3,1
,Obama,Madison,2000,45801,3,3
,Grant,Jackson,500,74801,2,2
,総取引における距離の平均,1166.0,合算地,3500,何番目に好きな人に売れたの平均,2.0,何番目に好きな人から買えたの平均,2.0
,売りたい家の数,7,買いたい家の数,3,
,売れた家の数,3,買えた家の数,3,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,Coolidge,Clinton,1000,74801,3,1
,Madison,Nixson,2000,26401,1,3
,Garfield,Reagan,3000,33800,2,2
,総取引における距離の平均,2000.0,合算地,6000,何番目に好きな人に売れたの平均,2.0,何番目に好きな人から買えたの平均,2.0
,売りたい家の数,5,買いたい家の数,4,
,売れた家の数,4,買えた家の数,4,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,Kennedy,Hoover,1500,94401,3,3
,Reagan,Taft,1000,69801,3,4
,Clinton,Buchanan,3000,348001,1,1
,Monroe,Eisenhower,3000,108000,4,2
,総取引における距離の平均,2125.0,合算地,8500,何番目に好きな人に売れたの平均,2.0,何番目に好きな人から買えたの平均,2.0
,売りたい家の数,13,買いたい家の数,6,
,売れた家の数,6,買えた家の数,6,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,Taft,Pierce,2500,193301,5,5
,Hoover,Arthur,2000,257501,4,2
,Buchanan,Harrison,2500,247901,3,3
,Lincoln,Cleveland,2500,108001,2,6
,Hayes,Buren,1500,218701,1,4
,Mckinley,Monroe,1000,302400,6,1
,総取引における距離の平均,2000.0,合算地,12000,何番目に好きな人に売れたの平均,3.0,何番目に好きな人から買えたの平均,3.0
,売りたい家の数,11,買いたい家の数,11,
,売れた家の数,11,買えた家の数,11,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,Nixson,Bush,1000,309801,11,5
,Truman,Eisenhower,1000,257501,11,7
,Ford,Kennedy,1500,115201,10,8
,Jefferson,Jackson,1500,45801,9,10
,Polk,Adams,2000,336001,8,1
,Buren,Washington,2500,94401,8,9
,Taylor,Fillmore,3500,264801,6,6
,Pierce,Johnson,3000,309801,11,3
,Arthur,Lincoln,3000,309801,6,3
,Cleveland,Hayes,1500,33801,6,11
,Harrison,Mckinley,500,309801,1,5
